Leaf Number,Latitude Range,Longitude Range
118,"(34.13657188415527, 38.77504920959473)","(-75.34147262573242, -26.457131385803223)"
119,"(38.77504920959473, 40.384958267211914)","(-98.74539947509766, -81.58092880249023)"
120,"(40.384958267211914, 43.88876724243164)","(-98.74539947509766, -81.58092880249023)"
121,"(38.77504920959473, 40.33773422241211)","(-81.58092880249023, -26.457131385803223)"
122,"(40.33773422241211, 43.88876724243164)","(-81.58092880249023, -26.457131385803223)"
123,"(43.88876724243164, 45.55398941040039)","(-98.74539947509766, -90.89969635009766)"
124,"(43.88876724243164, 45.55398941040039)","(-90.89969635009766, -26.457131385803223)"
125,"(45.55398941040039, 90)","(-98.74539947509766, -96.66378402709961)"
126,"(45.55398941040039, 90)","(-96.66378402709961, -26.457131385803223)"
127,"(-90, -34.20128059387207)","(-26.457131385803223, 18.92395782470703)"
128,"(-90, -34.20128059387207)","(18.92395782470703, 54.429758071899414)"
129,"(-34.20128059387207, -34.18764877319336)","(-26.457131385803223, 18.475234031677246)"
130,"(-34.20128059387207, -34.18764877319336)","(18.475234031677246, 54.429758071899414)"
131,"(-34.18764877319336, -30.468448638916016)","(-26.457131385803223, 18.433907508850098)"
132,"(-34.18764877319336, -30.468448638916016)","(18.433907508850098, 18.86502456665039)"
133,"(-34.18764877319336, -30.468448638916016)","(18.86502456665039, 22.416154861450195)"
134,"(-34.18764877319336, -30.468448638916016)","(22.416154861450195, 54.429758071899414)"
135,"(-30.468448638916016, -3.267606258392334)","(-26.457131385803223, 42.005767822265625)"
136,"(-30.468448638916016, -3.267606258392334)","(42.005767822265625, 54.429758071899414)"
137,"(-3.267606258392334, 1.3558663725852966)","(-26.457131385803223, 54.429758071899414)"
138,"(1.3558663725852966, 16.4567289352417)","(-26.457131385803223, 54.429758071899414)"
139,"(16.4567289352417, 31.588847160339355)","(-26.457131385803223, -15.247787475585938)"
140,"(16.4567289352417, 31.588847160339355)","(-15.247787475585938, 54.429758071899414)"
141,"(31.588847160339355, 38.268184661865234)","(-26.457131385803223, 14.137304782867432)"
142,"(31.588847160339355, 38.268184661865234)","(14.137304782867432, 54.429758071899414)"
143,"(-90, -21.3675537109375)","(54.429758071899414, 96.05142593383789)"
144,"(-21.3675537109375, -19.858105659484863)","(54.429758071899414, 96.05142593383789)"
145,"(-19.858105659484863, 33.84891319274902)","(54.429758071899414, 96.05142593383789)"
146,"(33.84891319274902, 38.268184661865234)","(54.429758071899414, 96.05142593383789)"
147,"(-90, -9.006521224975586)","(96.05142593383789, 126.48760604858398)"
148,"(-9.006521224975586, 21.93759250640869)","(96.05142593383789, 126.48760604858398)"
149,"(21.93759250640869, 22.507107734680176)","(96.05142593383789, 126.48760604858398)"
150,"(22.507107734680176, 38.268184661865234)","(96.05142593383789, 126.48760604858398)"
151,"(-90, 26.351545333862305)","(126.48760604858398, 130.6852798461914)"
152,"(26.351545333862305, 35.31622123718262)","(126.48760604858398, 130.6852798461914)"
153,"(35.31622123718262, 37.20052909851074)","(126.48760604858398, 126.58778762817383)"
154,"(35.31622123718262, 37.20052909851074)","(126.58778762817383, 130.6852798461914)"
155,"(37.20052909851074, 37.75937271118164)","(126.48760604858398, 127.45685195922852)"
