Leaf Node,Latitude Range,Longitude Range
464,"(48.34120559692383, 50.99823188781738)","(31.954071044921875, 87.99558639526367)"
467,"(38.268184661865234, 50.99823188781738)","(87.99558639526367, 88.3875503540039)"
468,"(38.268184661865234, 50.99823188781738)","(88.3875503540039, 105.87921905517578)"
470,"(38.268184661865234, 50.99823188781738)","(105.87921905517578, 138.28964233398438)"
471,"(38.268184661865234, 50.99823188781738)","(138.28964233398438, 180)"
476,"(50.99823188781738, 52.06986427307129)","(24.693077087402344, 48.653106689453125)"
477,"(52.06986427307129, 61.79668045043945)","(24.693077087402344, 48.653106689453125)"
479,"(50.99823188781738, 57.44487380981445)","(48.653106689453125, 72.58443069458008)"
480,"(57.44487380981445, 61.79668045043945)","(48.653106689453125, 72.58443069458008)"
483,"(61.79668045043945, 66.50589752197266)","(24.693077087402344, 72.58443069458008)"
484,"(66.50589752197266, 70.2673110961914)","(24.693077087402344, 72.58443069458008)"
486,"(70.2673110961914, 70.33696365356445)","(24.693077087402344, 72.58443069458008)"
487,"(70.33696365356445, 90)","(24.693077087402344, 72.58443069458008)"
491,"(50.99823188781738, 54.96918869018555)","(72.58443069458008, 80.0838623046875)"
492,"(54.96918869018555, 90)","(72.58443069458008, 80.0838623046875)"
494,"(50.99823188781738, 90)","(80.0838623046875, 80.88368606567383)"
495,"(50.99823188781738, 90)","(80.88368606567383, 82.60935592651367)"
498,"(50.99823188781738, 90)","(82.60935592651367, 127.26225662231445)"
499,"(50.99823188781738, 90)","(127.26225662231445, 158.71897888183594)"
501,"(50.99823188781738, 90)","(158.71897888183594, 165.11385345458984)"
502,"(50.99823188781738, 90)","(165.11385345458984, 180)"
