id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
9152,Spizella pusilla,Passerellidae,Animalia,Chordata,Spizella,Aves,Spizella,922670,"[2, 0]",162.0,[8],"[266, 89, 279, 52, 93]","[220, 134, 177, 158, 252]","[5, 54, 17, 20, 28]","[1000.0, 5000.0]",10.0,"[11, 12]",245590.0,,,34.0,Stable
9296,Euphonia pectoralis,Fringillidae,Animalia,Chordata,Euphonia,Aves,Euphonia,1055912,"[2, 0]",20.49,[],"[344, 67, 452, 27, 215]","[108, 247, 98, 53, 22]","[85, 82]","[2000.0, 500.0]",40.0,[16],750.0,904.0,878.0,,nan
9351,Icterus chrysater,Icteridae,Animalia,Chordata,Icterus,Aves,Icterus,45512292,"[2, 0]",4.8,"[0, 8]","[509, 39, 168, 261, 531]","[143, 122, 144, 122, 143]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",67271.0,1841.0,1743.0,3.0,Unknown
9477,Geospiza magnirostris,Thraupidae,Animalia,Chordata,Geospiza,Aves,Geospiza,45513704,"[2, 0]",34.1,[8],"[150, 77, 561, 383, 167]","[245, 231, 55, 275, 45]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",438412.0,4946.0,3973.0,,Stable
9523,Melozone kieneri,Passerellidae,Animalia,Chordata,Melozone,Aves,Melozone,45514809,"[2, 0]",32.5,[8],"[25, 215, 504, 571, 371]","[108, 25, 64, 114, 273]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",55620.0,,,4.0,Stable
9549,Tangara cyanocephala,Thraupidae,Animalia,Chordata,Tangara,Aves,Tangara,963127,"[2, 0, 0]",,[8],"[589, 451, 80, 249]","[47, 33]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",245.0,,216.0,,Unknown
9602,Quiscalus quiscula,Icteridae,Animalia,Chordata,Quiscalus,Aves,Quiscalus,323886,"[2, 0]","[520.0, 435.0, 390.0, 260.0, 240.0]","[11, 3, 1]","[397, 531, 261, 39]","[122, 58, 143, 122]","[82, 82, 0, 56, 32]",,,"[6, 8]",,203.0,186.0,4.0,Decreasing
9612,Leucosticte australis,Fringillidae,Animalia,Chordata,Leucosticte,Aves,Leucosticte,1177728,"[2, 0]","[51.7, 59.3]",[8],"[115, 371, 150, 275, 546]","[25, 20, 108, 38, 273]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",215039.0,,,,Decreasing
9626,Granatellus sallaei,Cardinalidae,Animalia,Chordata,Granatellus,Aves,Granatellus,45513243,"[2, 0]",,[10],"[414, 203, 302, 90, 459]","[143, 58, 122, 144, 65]","[20, 53, 32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",3620.0,278.0,273.0,,Decreasing
9639,Carpodacus erythrinus,Fringillidae,Animalia,Chordata,Carpodacus,Aves,Carpodacus,45518917,"[2, 0]",149.0,[8],"[418, 483, 81, 465, 433]","[12, 259, 38, 85, 114]","[34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",74282.0,,1031.0,8.0,Stable
