id,scientific_name,family,kingdom,phylum,parent,class,genus
54549,Pygoscelis antarcticus,Spheniscidae,Animalia,Chordata,Pygoscelis,Aves,Pygoscelis
24501,Bombina orientalis,Bombinatoridae,Animalia,Chordata,Bombina,Amphibia,Bombina
29550,Lycodon travancoricus,Colubridae,Animalia,Chordata,Lycodon,Squamata,Lycodon
204544,Montifringilla nivalis,Passeridae,Animalia,Chordata,Montifringilla,Aves,Montifringilla
8454,Platysteira cyanea,Platysteiridae,Animalia,Chordata,Platysteira,Aves,Platysteira
560425,Malayemys macrocephala,Geoemydidae,Animalia,Chordata,Malayemys,Testudines,Malayemys
16079,Contopus sordidulus,Tyrannidae,Animalia,Chordata,Contopus,Aves,Contopus
43840,Zapus hudsonius,Dipodidae,Animalia,Chordata,Zapus,Mammalia,Zapus
16782,Tyrannus tyrannus,Tyrannidae,Animalia,Chordata,Tyrannus,Aves,Tyrannus
145085,Turdus simillimus,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus
68339,Elaphe climacophora,Colubridae,Animalia,Chordata,Elaphe,Squamata,Elaphe
42888,Macropus giganteus,Macropodidae,Animalia,Chordata,Macropus,Mammalia,Macropus
14169,Petroica goodenovii,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica
1630,Centropus superciliosus,Cuculidae,Animalia,Chordata,Centropus,Aves,Centropus
47049,Parascalops breweri,Talpidae,Animalia,Chordata,Parascalops,Mammalia,Parascalops
979665,Coracias benghalensis,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias
145187,Cinnyris talatala,Nectariniidae,Animalia,Chordata,Cinnyris,Aves,Cinnyris
33142,Crotaphytus vestigium,Crotaphytidae,Animalia,Chordata,Crotaphytus,Squamata,Crotaphytus
74443,Hydrochoerus isthmius,Caviidae,Animalia,Chordata,Hydrochoerus,Mammalia,Hydrochoerus
145189,Cinnyris fuscus,Nectariniidae,Animalia,Chordata,Cinnyris,Aves,Cinnyris
31419,Pogona barbata,Agamidae,Animalia,Chordata,Pogona,Squamata,Pogona
6228,Coeligena helianthea,Trochilidae,Animalia,Chordata,Coeligena,Aves,Coeligena
12910,Saxicola caprata,Muscicapidae,Animalia,Chordata,Saxicola,Aves,Saxicola
7806,Climacteris rufus,Climacteridae,Animalia,Chordata,Climacteris,Aves,Climacteris
487,Fulica cristata,Rallidae,Animalia,Chordata,Fulica,Aves,Fulica
8847,Procnias tricarunculatus,Cotingidae,Animalia,Chordata,Procnias,Aves,Procnias
1289422,Argya affinis,Leiothrichidae,Animalia,Chordata,Turdoides,Aves,Turdoides
14030,Uraeginthus cyanocephalus,Estrildidae,Animalia,Chordata,Uraeginthus,Aves,Uraeginthus
5365,Gyps coprotheres,Accipitridae,Animalia,Chordata,Gyps,Aves,Gyps
116868,Chaetops aurantius,Chaetopidae,Animalia,Chordata,Chaetops,Aves,Chaetops
43353,Tapirus terrestris,Tapiridae,Animalia,Chordata,Tapirus,Mammalia,Tapirus
460,Aramides ypecaha,Rallidae,Animalia,Chordata,Aramides,Aves,Aramides
27818,Taricha torosa,Salamandridae,Animalia,Chordata,Taricha,Amphibia,Taricha
890,Bonasa umbellus,Phasianidae,Animalia,Chordata,Bonasa,Aves,Bonasa
25411,Cacosternum boettgeri,Pyxicephalidae,Animalia,Chordata,Cacosternum,Amphibia,Cacosternum
65987,Lithobates heckscheri,Ranidae,Animalia,Chordata,Lithobates,Amphibia,Lithobates
29073,Philothamnus semivariegatus,Colubridae,Animalia,Chordata,Philothamnus,Squamata,Philothamnus
2229,Merops orientalis,Meropidae,Animalia,Chordata,Merops,Aves,Merops
204523,Hypothymis azurea,Monarchidae,Animalia,Chordata,Hypothymis,Aves,Hypothymis
15302,Sylvia borin,Sylviidae,Animalia,Chordata,Sylvia,Aves,Sylvia
9296,Euphonia pectoralis,Fringillidae,Animalia,Chordata,Euphonia,Aves,Euphonia
25861,Occidozyga martensii,Dicroglossidae,Animalia,Chordata,Occidozyga,Amphibia,Occidozyga
117097,Regulus ignicapilla,Regulidae,Animalia,Chordata,Regulus,Aves,Regulus
9081,Cardinalis sinuatus,Cardinalidae,Animalia,Chordata,Cardinalis,Aves,Cardinalis
24462,Hemisus marmoratus,Hemisotidae,Animalia,Chordata,Hemisus,Amphibia,Hemisus
29310,Nerodia rhombifer,Colubridae,Animalia,Chordata,Nerodia,Squamata,Nerodia
4765,Coragyps atratus,Cathartidae,Animalia,Chordata,Coragyps,Aves,Coragyps
528911,Nebulifera robusta,Diplodactylidae,Animalia,Chordata,Nebulifera,Squamata,Nebulifera
27500,Gyrinophilus porphyriticus,Plethodontidae,Animalia,Chordata,Gyrinophilus,Amphibia,Gyrinophilus
7802,Climacteris picumnus,Climacteridae,Animalia,Chordata,Climacteris,Aves,Climacteris
12048,Lanius cabanisi,Laniidae,Animalia,Chordata,Lanius,Aves,Lanius
4729,Ibycter americanus,Falconidae,Animalia,Chordata,Ibycter,Aves,Ibycter
111451,Python natalensis,Pythonidae,Animalia,Chordata,Python,Squamata,Python
518169,Sittiparus varius,Paridae,Animalia,Chordata,Poecile,Aves,Poecile
40323,Myotis austroriparius,Vespertilionidae,Animalia,Chordata,Myotis,Mammalia,Myotis
5174,Circus maurus,Accipitridae,Animalia,Chordata,Circus,Aves,Circus
35854,Lacerta viridis,Lacertidae,Animalia,Chordata,Lacerta,Squamata,Lacerta
25603,Rana zhenhaiensis,Ranidae,Animalia,Chordata,Rana,Amphibia,Rana
607212,Dasyprocta variegata,Dasyproctidae,Animalia,Chordata,Dasyprocta,Mammalia,Dasyprocta
38008,Eutropis multifasciata,Scincidae,Animalia,Chordata,Eutropis,Squamata,Eutropis
10243,Icteria virens,Parulidae,Animalia,Chordata,Icteria,Aves,Icteria
4569,Phaetusa simplex,Laridae,Animalia,Chordata,Phaetusa,Aves,Phaetusa
43047,Erinaceus amurensis,Erinaceidae,Animalia,Chordata,Erinaceus,Mammalia,Erinaceus
46217,Tamias striatus,Sciuridae,Animalia,Chordata,Tamias,Mammalia,Tamias
13709,Anthus rufulus,Motacillidae,Animalia,Chordata,Anthus,Aves,Anthus
117079,Pterocles bicinctus,Pteroclididae,Animalia,Chordata,Pterocles,Aves,Pterocles
19182,Aratinga weddellii,Psittacidae,Animalia,Chordata,Aratinga,Aves,Aratinga
13540,Smicrornis brevirostris,Acanthizidae,Animalia,Chordata,Smicrornis,Aves,Smicrornis
14635,Alophoixus pallidus,Pycnonotidae,Animalia,Chordata,Alophoixus,Aves,Alophoixus
8912,Cotinga nattererii,Cotingidae,Animalia,Chordata,Cotinga,Aves,Cotinga
60348,Lampropeltis nigra,Colubridae,Animalia,Chordata,Lampropeltis,Squamata,Lampropeltis
44570,Rattus fuscipes,Muridae,Animalia,Chordata,Rattus,Mammalia,Rattus
13470,Acanthiza nana,Acanthizidae,Animalia,Chordata,Acanthiza,Aves,Acanthiza
717903,Masticophis lateralis,Colubridae,Animalia,Chordata,Masticophis,Squamata,Masticophis
13272,Pogonocichla stellata,Muscicapidae,Animalia,Chordata,Pogonocichla,Aves,Pogonocichla
43848,Napaeozapus insignis,Dipodidae,Animalia,Chordata,Napaeozapus,Mammalia,Napaeozapus
7730,Prinia maculosa,Cisticolidae,Animalia,Chordata,Prinia,Aves,Prinia
116798,Acrocephalus gracilirostris,Acrocephalidae,Animalia,Chordata,Acrocephalus,Aves,Acrocephalus
93486,Afrogecko porphyreus,Gekkonidae,Animalia,Chordata,Afrogecko,Squamata,Afrogecko
30487,Naja nivea,Elapidae,Animalia,Chordata,Naja,Squamata,Naja
36281,Sceloporus clarkii,Phrynosomatidae,Animalia,Chordata,Sceloporus,Squamata,Sceloporus
113754,Takydromus wolteri,Lacertidae,Animalia,Chordata,Takydromus,Squamata,Takydromus
225751,Neotamias rufus,Sciuridae,Animalia,Chordata,Neotamias,Mammalia,Neotamias
30285,Elaphe sauromates,Colubridae,Animalia,Chordata,Elaphe,Squamata,Elaphe
7868,Oriolus auratus,Oriolidae,Animalia,Chordata,Oriolus,Aves,Oriolus
24994,Breviceps montanus,Brevicipitidae,Animalia,Chordata,Breviceps,Amphibia,Breviceps
12305,Meliphaga lewinii,Meliphagidae,Animalia,Chordata,Meliphaga,Aves,Meliphaga
41939,Ichneumia albicauda,Herpestidae,Animalia,Chordata,Ichneumia,Mammalia,Ichneumia
7729,Prinia subflava,Cisticolidae,Animalia,Chordata,Prinia,Aves,Prinia
370402,Stomiopera unicolor,Meliphagidae,Animalia,Chordata,Stomiopera,Aves,Stomiopera
27726,Salamandra salamandra,Salamandridae,Animalia,Chordata,Salamandra,Amphibia,Salamandra
9351,Icterus chrysater,Icteridae,Animalia,Chordata,Icterus,Aves,Icterus
423656,Lycalopex gymnocercus,Canidae,Animalia,Chordata,Lycalopex,Mammalia,Lycalopex
27413,Desmognathus monticola,Plethodontidae,Animalia,Chordata,Desmognathus,Amphibia,Desmognathus
42228,Blastocerus dichotomus,Cervidae,Animalia,Chordata,Blastocerus,Mammalia,Blastocerus
367550,Micropternus brachyurus,Picidae,Animalia,Chordata,Micropternus,Aves,Micropternus
14610,Pycnonotus luteolus,Pycnonotidae,Animalia,Chordata,Pycnonotus,Aves,Pycnonotus
69696,Chrysomus ruficapillus,Icteridae,Animalia,Chordata,Chrysomus,Aves,Chrysomus
31866,Amphisbaena alba,Amphisbaenidae,Animalia,Chordata,Amphisbaena,Squamata,Amphisbaena
29351,Natrix maura,Colubridae,Animalia,Chordata,Natrix,Squamata,Natrix
8909,Cotinga cayana,Cotingidae,Animalia,Chordata,Cotinga,Aves,Cotinga
26882,Hynobius leechii,Hynobiidae,Animalia,Chordata,Hynobius,Amphibia,Hynobius
4146,Oceanites oceanicus,Hydrobatidae,Animalia,Chordata,Oceanites,Aves,Oceanites
43523,Chlorocebus aethiops,Cercopithecidae,Animalia,Chordata,Chlorocebus,Mammalia,Chlorocebus
30358,Dispholidus typus,Colubridae,Animalia,Chordata,Dispholidus,Squamata,Dispholidus
144743,Carterornis leucotis,Monarchidae,Animalia,Chordata,Carterornis,Aves,Carterornis
29808,Lampropeltis alterna,Colubridae,Animalia,Chordata,Lampropeltis,Squamata,Lampropeltis
46994,Scapanus latimanus,Talpidae,Animalia,Chordata,Scapanus,Mammalia,Scapanus
27431,Aneides ferreus,Plethodontidae,Animalia,Chordata,Aneides,Amphibia,Aneides
41124,Chrotopterus auritus,Phyllostomidae,Animalia,Chordata,Chrotopterus,Mammalia,Chrotopterus
4665,Falco sparverius,Falconidae,Animalia,Chordata,Falco,Aves,Falco
6023,Lesbia victoriae,Trochilidae,Animalia,Chordata,Lesbia,Aves,Lesbia
42722,Petaurus norfolcensis,Petauridae,Animalia,Chordata,Petaurus,Mammalia,Petaurus
9626,Granatellus sallaei,Cardinalidae,Animalia,Chordata,Granatellus,Aves,Granatellus
318695,Holcosus septemlineatus,Teiidae,Animalia,Chordata,Holcosus,Squamata,Holcosus
10506,Dacnis cayana,Thraupidae,Animalia,Chordata,Dacnis,Aves,Dacnis
27696,Rhyacotriton kezeri,Rhyacotritonidae,Animalia,Chordata,Rhyacotriton,Amphibia,Rhyacotriton
980019,Theristicus branickii,Threskiornithidae,Animalia,Chordata,Theristicus melanopis,Aves,Theristicus
855311,Nyctereutes procyonoides,Canidae,Animalia,Chordata,Nyctereutes,Mammalia,Nyctereutes
558618,Crithagra sulphurata,Fringillidae,Animalia,Chordata,Crithagra,Aves,Crithagra
7703,Malcorus pectoralis,Cisticolidae,Animalia,Chordata,Malcorus,Aves,Malcorus
