lat_grid,long_grid,BIO1,BIO5,BI06,BIO12,BIO15,gridID,habitat
-55.0,-36.0,0.8468921527266502,6.0894188245137535,-6.005450598398844,1562.2666666666667,15.271784273783366,44,1
-55.0,158.5,4.296465015411377,8.447027015686036,0.923357892036438,1005.4,16.95777473449707,45,1
-54.5,-69.5,4.5233540534973145,12.21399974822998,-2.1292500495910645,592.0,14.158731460571287,46,1
-54.5,-69.0,3.405072927474976,11.244000434875488,-3.3747498989105225,526.0,12.895249366760254,47,1
-54.5,-67.0,5.355963706970215,13.582427978515623,-1.7865815162658691,447.0,23.83442687988281,48,1
-54.5,-37.5,0.6373129785060883,5.970306491851806,-6.218289947509765,1630.4,13.522933006286621,49,1
-54.5,-37.0,0.1278060889906354,5.476340346866184,-6.758780638376872,1558.111111111111,16.914592530992294,50,3
-54.5,-36.5,0.8829840943217279,6.303308010101318,-5.99781346321106,1560.0,16.54498863220215,51,1
-54.5,158.5,4.989166736602783,8.9399995803833,1.6399999856948853,967.0,17.38540267944336,52,1
-54.0,-71.0,5.554253578186035,13.040972709655762,-0.7868055701255798,759.0,12.905155181884766,53,1
-54.0,-69.5,5.435458183288574,13.680749893188477,-1.5267499685287476,499.0,15.234051704406738,54,1
-54.0,-68.5,6.019090788705008,15.515785353524345,-1.966999990599496,319.2857142857143,19.86506107875279,55,1
-54.0,-68.0,5.974818706512451,15.365217208862305,-2.1086955070495605,315.0,23.425954818725582,56,1
-54.0,-38.5,2.033333301544189,7.300000190734863,-4.724999904632568,1577.0,15.01935863494873,57,1
-54.0,-38.0,1.3773809671401978,7.0,-5.5619049072265625,1570.0,14.831868171691896,58,1
-53.5,-71.0,5.814155737559001,14.410065650939941,-1.63874555627505,563.5,13.497084140777588,59,1
-53.0,-72.0,6.029358863830566,15.405640602111816,-2.311282157897949,503.0,12.585597038269045,60,1
-53.0,-71.5,6.34121561050415,15.76146125793457,-1.8884130716323853,445.0,13.550045013427734,61,1
-53.0,-71.0,6.4375,15.195402145385742,-1.374712586402893,420.0,14.5547456741333,62,1
-53.0,169.0,6.580859375,11.82600212097168,2.338487243652344,1359.8,8.994525909423828,63,1
-52.5,-61.0,6.704166889190674,12.125,1.924999952316284,477.0,21.00926780700684,64,1
-52.5,169.0,6.698706150054932,11.864596366882326,2.4548653761545816,1363.6666666666667,9.39040438334147,65,1
-52.0,-72.5,5.563739538192749,15.882500171661377,-3.6296249628067017,427.0,16.251070022583008,66,1
-52.0,-69.5,7.100104331970215,18.06550025939941,-1.7722499370574951,259.0,26.464630126953125,67,1
-52.0,-58.0,5.981027603149414,13.983333587646484,-0.3953333497047424,596.0,20.01007080078125,68,1
-51.5,-73.5,5.811082583207351,15.174076740558329,-2.262788552504319,910.6923076923077,11.378757183368387,69,1
-51.5,-73.0,6.213075910295759,16.029071807861328,-2.2702857426234653,654.0,13.885535103934155,70,1
-51.5,-72.5,6.096312522888184,17.05324935913086,-3.3292500972747803,363.0,17.26625633239746,71,1
